255,0,0
249,6,0
242,13,0
236,19,0
231,24,0
225,30,0
221,34,0
216,39,0
212,43,0
208,47,0
204,51,0
200,55,0
197,58,0
193,62,0
190,65,0
187,68,0
184,71,0
181,74,0
179,76,0
176,79,0
173,82,0
171,84,0
169,86,0
166,89,0
164,91,0
162,93,0
160,95,0
157,98,0
155,100,0
153,102,0
151,104,0
149,106,0
147,108,0
145,110,0
143,112,0
142,113,0
140,115,0
138,117,0
136,119,0
134,121,0
132,123,0
131,124,0
129,126,0
127,128,0
125,130,0
123,132,0
121,134,0
120,135,0
118,137,0
116,139,0
114,141,0
112,143,0
110,145,0
108,147,0
106,149,0
104,151,0
102,153,0
100,155,0
98,157,0
96,159,0
94,161,0
92,163,0
90,165,0
87,168,0
85,170,0
82,173,0
80,175,0
77,178,0
75,180,0
72,183,0
69,186,0
66,189,0
63,192,0
59,196,0
56,199,0
52,203,0
49,206,0
45,210,0
40,215,0
36,219,0
31,224,0
26,229,0
21,234,0
15,240,0
9,246,0
2,253,0
0,251,4
0,244,11
0,238,17
0,232,23
0,227,28
0,222,33
0,218,37
0,213,42
0,209,46
0,205,50
0,201,54
0,198,57
0,194,61
0,191,64
0,188,67
0,185,70
0,182,73
0,180,75
0,177,78
0,174,81
0,172,83
0,169,86
0,167,88
0,165,90
0,162,93
0,160,95
0,158,97
0,156,99
0,154,101
0,152,103
0,150,105
0,148,107
0,146,109
0,144,111
0,142,113
0,140,115
0,138,117
0,137,118
0,135,120
0,133,122
0,131,124
0,129,126
0,128,128
0,126,129
0,124,131
0,122,133
0,120,135
0,118,137
0,117,138
0,115,140
0,113,142
0,111,144
0,109,146
0,107,148
0,105,150
0,103,152
0,101,154
0,99,156
0,97,158
0,95,160
0,93,162
0,90,165
0,88,167
0,86,169
0,83,172
0,81,174
0,78,177
0,75,180
0,73,182
0,70,185
0,67,188
0,64,191
0,61,194
0,57,198
0,54,201
0,50,205
0,46,209
0,42,213
0,37,218
0,33,222
0,28,227
0,23,232
0,17,238
0,11,244
0,4,251
2,0,253
9,0,246
15,0,240
21,0,234
26,0,229
31,0,224
36,0,219
40,0,215
45,0,210
49,0,206
52,0,203
56,0,199
59,0,196
63,0,192
66,0,189
69,0,186
72,0,183
75,0,180
77,0,178
80,0,175
82,0,173
85,0,170
87,0,168
90,0,165
92,0,163
94,0,161
96,0,159
98,0,157
100,0,155
102,0,153
104,0,151
106,0,149
108,0,147
110,0,145
112,0,143
114,0,141
116,0,139
118,0,137
120,0,135
121,0,134
123,0,132
125,0,130
127,0,128
129,0,126
131,0,124
132,0,123
134,0,121
136,0,119
138,0,117
140,0,115
142,0,113
143,0,112
145,0,110
147,0,108
149,0,106
151,0,104
153,0,102
155,0,100
157,0,98
160,0,95
162,0,93
164,0,91
166,0,89
169,0,86
171,0,84
173,0,82
176,0,79
179,0,76
181,0,74
184,0,71
187,0,68
190,0,65
193,0,62
197,0,58
200,0,55
204,0,51
208,0,47
212,0,43
216,0,39
221,0,34
225,0,30
231,0,24
236,0,19
242,0,13
249,0,6
